Countries or Regions,Currency Code,Price
Afghanistan,USD,22.99
Albania,USD,29.99
Algeria,USD,22.99
Angola,USD,22.99
Anguilla,USD,22.99
Antigua and Barbuda,USD,22.99
Argentina,USD,22.99
Armenia,USD,29.99
Australia,AUD,39.99
Austria,EUR,24.99
Azerbaijan,USD,29.99
Bahamas,USD,24.99
Bahrain,USD,24.99
Barbados,USD,29.99
Belarus,USD,29.99
Belgium,EUR,24.99
Belize,USD,22.99
Benin,USD,29.99
Bermuda,USD,22.99
Bhutan,USD,22.99
Bolivia,USD,22.99
Bosnia and Herzegovina,EUR,24.99
Botswana,USD,22.99
Brazil,BRL,149.9
British Virgin Islands,USD,22.99
Brunei,USD,22.99
Bulgaria,BGN,49.99
Burkina Faso,USD,22.99
Cambodia,USD,24.99
Cameroon,USD,29.99
Canada,CAD,29.99
Cape Verde,USD,22.99
Cayman Islands,USD,22.99
Chad,USD,22.99
Chile,CLP,24990
China mainland,CNY,168.0
Colombia,COP,99900.0
"Congo, Democratic Republic of the",USD,22.99
"Congo, Republic of the",USD,22.99
Costa Rica,USD,22.99
Côte d’Ivoire,USD,29.99
Croatia,EUR,24.99
Cyprus,EUR,24.99
Czech Republic,CZK,599.0
Denmark,DKK,199.0
Dominica,USD,22.99
Dominican Republic,USD,22.99
Ecuador,USD,22.99
Egypt,EGP,1199.99
El Salvador,USD,22.99
Estonia,EUR,24.99
Eswatini,USD,22.99
Fiji,USD,22.99
Finland,EUR,24.99
France,EUR,24.99
Gabon,USD,22.99
Gambia,USD,22.99
Georgia,USD,29.99
Germany,EUR,24.99
Ghana,USD,29.99
Greece,EUR,24.99
Grenada,USD,22.99
Guatemala,USD,22.99
Guinea-Bissau,USD,22.99
Guyana,USD,22.99
Honduras,USD,22.99
Hong Kong,HKD,188.0
Hungary,HUF,9990
Iceland,USD,29.99
India,INR,2299.0
Indonesia,IDR,399000
Iraq,USD,22.99
Ireland,EUR,24.99
Israel,ILS,79.9
Italy,EUR,24.99
Jamaica,USD,22.99
Japan,JPY,3500
Jordan,USD,22.99
Kazakhstan,KZT,12990.0
Kenya,USD,29.99
"Korea, Republic of",KRW,33000
Kosovo,EUR,24.99
Kuwait,USD,22.99
Kyrgyzstan,USD,24.99
Laos,USD,24.99
Latvia,EUR,24.99
Lebanon,USD,22.99
Liberia,USD,22.99
Libya,USD,22.99
Lithuania,EUR,24.99
Luxembourg,EUR,24.99
Macau,USD,22.99
Madagascar,USD,22.99
Malawi,USD,22.99
Malaysia,MYR,99.9
Maldives,USD,22.99
Mali,USD,22.99
Malta,EUR,24.99
Mauritania,USD,22.99
Mauritius,USD,22.99
Mexico,MXN,499.0
Micronesia,USD,22.99
Moldova,USD,29.99
Mongolia,USD,22.99
Montenegro,EUR,19.99
Montserrat,USD,22.99
Morocco,USD,22.99
Mozambique,USD,22.99
Myanmar,USD,22.99
Namibia,USD,22.99
Nauru,USD,22.99
Nepal,USD,29.99
Netherlands,EUR,24.99
New Zealand,NZD,39.99
Nicaragua,USD,22.99
Niger,USD,22.99
Nigeria,NGN,39900.0
North Macedonia,USD,22.99
Norway,NOK,299.0
Oman,USD,22.99
Pakistan,PKR,5900.0
Palau,USD,22.99
Panama,USD,22.99
Papua New Guinea,USD,22.99
Paraguay,USD,22.99
Peru,PEN,99.9
Philippines,PHP,1490.0
Poland,PLN,99.99
Portugal,EUR,24.99
Qatar,QAR,79.99
Romania,RON,119.99
Russia,RUB,1990.0
Rwanda,USD,22.99
São Tomé and Príncipe,USD,22.99
Saudi Arabia,SAR,99.99
Senegal,USD,29.99
Serbia,EUR,24.99
Seychelles,USD,22.99
Sierra Leone,USD,22.99
Singapore,SGD,34.98
Slovakia,EUR,24.99
Slovenia,EUR,24.99
Solomon Islands,USD,22.99
South Africa,ZAR,499.99
Spain,EUR,24.99
Sri Lanka,USD,22.99
St. Kitts and Nevis,USD,22.99
St. Lucia,USD,22.99
St. Vincent and the Grenadines,USD,22.99
Suriname,USD,24.99
Sweden,SEK,299.0
Switzerland,CHF,20.0
Taiwan,TWD,790
Tajikistan,USD,24.99
Tanzania,TZS,69900.0
Thailand,THB,799.0
Tonga,USD,22.99
Trinidad and Tobago,USD,22.99
Tunisia,USD,22.99
Türkiye,TRY,1199.99
Turkmenistan,USD,22.99
Turks and Caicos Islands,USD,22.99
Uganda,USD,29.99
Ukraine,USD,29.99
United Arab Emirates,AED,89.99
United Kingdom,GBP,22.99
United States,USD,24.99
Uruguay,USD,22.99
Uzbekistan,USD,24.99
Vanuatu,USD,22.99
Venezuela,USD,22.99
Vietnam,VND,699000
Yemen,USD,22.99
Zambia,USD,29.99
Zimbabwe,USD,29.99